edition_year,info,name,price,publisher,ratings
1992-6,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,悲惨世界（上中下）,66.00元,李丹,9.0
2008-11,南派三叔 / 中国友谊出版公司 / 2008-11 / 32.80元,盗墓笔记4,32.80元,中国友谊出版公司,9.0
2013-1-1,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,看见,39.80元,广西师范大学出版社,8.9
2011-6,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,百年孤独,39.50元,范晔,8.9
2003-1,郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,幻城,28.00元,春风文艺出版社,8.2
2007-8,辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,致我们终将逝去的青春,25.00元,朝华出版社,8.2
2015-5-1,[美] 加·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00,岛上书店,CNY 35.00,孙仲旭,7.1
2009-1,唐七公子 / 沈阳出版社 / 2009-1 / 26.80,三生三世 十里桃花,26.80,沈阳出版社,7.1
2004-1,江南 / 华文出版社 / 2004-1 / 25.00元,此间的少年,25.00元,华文出版社,8.6
2007-6,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,货币战争,38.00元,中信出版社,8.6
2009-3-1,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,牧羊少年奇幻之旅,25.00元,丁文林,8.4
1981-8,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,福尔摩斯探案全集（上中下）,53.00元/68.00元,丁钟华 等,8.4
1996-12,[英] 奥斯丁 / 王科一 / 上海译文出版社 / 1996-12 / 11.00元,傲慢与偏见,11.00元,王科一,8.2
2010-2,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,最初的爱情 最后的仪式,22.00元,潘帕,8.2
1997-12,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,白鹿原,28.00元,人民文学出版社,7.8
2006-6,[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,芒果街上的小屋,24.50元,潘帕,7.8
2011-1,[日] 村上春树 / 施小炜 / 南海出版公司 / 2011-1 / 39.50元,1Q84 BOOK 3,39.50元,施小炜,8.6
2006-12,[日] 岩井俊二 / 张苓 / 天津人民出版社 / 2006-12 / 28.00元,关于莉莉周的一切,28.00元,张苓,8.6
2007-7,[美] 卡罗琳·帕克丝特 / 何致和 / 南海出版公司 / 2007-7 / 22.00元,巴别塔之犬,22.00元,何致和,9.0
2005-5,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,香水,20.00元,李清华,9.0
2010-9,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,1988：我想和这个世界谈谈,25.00元,国际文化出版公司,8.9
2007-4,顾漫 / 朝华出版社 / 2007-4 / 15.00元,何以笙箫默,15.00元,朝华出版社,8.9
2010-5,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,1Q84 BOOK 1,36.00元,施小炜,8.2
2004-4,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,狼图腾,32.00元,长江文艺出版社,8.2
2003-4,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,海边的卡夫卡,25.00元,林少华,7.1
2001-4,余秋雨 / 东方出版中心 / 2001-4 / 22.00元,文化苦旅,22.00元,东方出版中心,7.1
2007-2,匪我思存 / 新世界出版社 / 2007-2 / 20.00元,佳期如梦,20.00元,新世界出版社,8.6
2014-11-1,[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,人类简史,CNY 68.00,林俊宏,8.6
2008-10,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,小时代1.0折纸时代,29.80元,长江文艺出版社,8.4
